Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
78.72832,82.45142,70.70967,9434,0,-10.66,34.86,50.95097,348 yds,65.23514,-14.5787,0,78.81209,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
76.41451,83.27814,66.70555,3891,-105,-6.35,36.91,49.33269,346.13 yds,59.76069,-8.941005,-1.55,76.41553,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
49.60073,55.46703,51.8299,2491,90,0.26,44,50.38295,373.23 yds,43.80342,0.4687973,2.07,49.59528,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
82.6734,105.7997,77.50997,2935,-1589,-8.39,16.22,23.78357,327.91 yds,23.67043,-20.38169,-28.43,82.83571,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
91.00149,97.9167,76.34676,6909,0,-0.03,22.49,37.89803,330.78 yds,43.6925,-0.04766448,0,91.03246,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
75.52256,79.73048,68.74117,7941,-85,-1.38,38.06,52.47012,349 yds,67.94145,-2.06592,-0.61,75.54192,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
76.46533,80.88976,67.89113,8344,539,1.85,31.89,46.0892,347.94 yds,53.39359,3.943229,3.7,76.50767,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
97.7664,104.5259,79.47848,6766,-185,-1.05,24.23,40.67841,324.22 yds,52.98035,-2.684067,-1.56,97.82574,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
85.68997,91.34752,72.99136,7796,0,-1.35,25.3,40.2689,337.38 yds,46.49532,-2.020493,0,85.76034,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
100.0243,106.0724,80.91012,7475,-541,-4.75,24.64,42.88192,323.47 yds,57.00648,-10.82813,-4.13,100.0439,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
104.3397,114.9269,85.11556,4910,-1441,-5.4,18.07,33.26352,316.57 yds,40.1254,-18.9413,-16.36,104.4533,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
101.8968,112.6831,82.38651,4194,1556,2.73,21.13,34.81506,317.95 yds,44.4002,15.36713,20.35,102.0193,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
110.3508,144.1565,93.92912,3198,0,-1.55,10.84,19.95954,284.62 yds,24.25965,-2.985634,0,110.3775,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
89.83035,95.87489,75.07171,6008,424,-0.52,32.7,48.3243,332.83 yds,67.02534,1.184341,4.04,89.83938,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
87.95106,96.53941,72.74529,3743,-1266,-7.07,29.7,42.04649,334.97 yds,53.06926,-18.10923,-18.69,88.04144,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
100.5519,106.0078,81.67068,7548,-400,0.05,29.81,48.59382,322.72 yds,73.21677,-1.894058,-3.03,100.5743,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
96.84707,104.7256,77.33102,3734,465,4.25,34.37,48.92158,324.85 yds,74.55471,10.68437,7.1,96.9482,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
114.6587,123.1261,86.74853,4209,-551,-4.43,29.99,48.27728,306.92 yds,81.18501,-14.03648,-7.47,114.7237,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
90.28156,95.82527,76.3915,5747,1858,20.18,22.78,37.03233,344.82 yds,42.51288,38.73981,17.91,90.33476,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
113.8676,119.4052,89.79077,8114,0,-3.55,26.31,48.14396,309.61 yds,78.39867,-7.059171,0,114.0055,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
99.43044,105.0444,80.14957,5135,-1648,-10.41,25.84,42.14042,329.17 yds,55.91518,-27.39703,-17.79,99.41108,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
108.8596,117.3699,85.78664,5856,-9,-4.53,20.54,38.15657,311.84 yds,50.93807,-8.649999,-0.08,108.8564,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
105.0651,109.697,85.87612,9093,0,-3.67,29.4,50.61049,319.3 yds,80.99227,-6.726448,0,105.0847,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
174.9663,219.3372,120.9066,1675,8,0.59,11.49,23.22635,209.39 yds,41.25472,2.043525,0.28,175.0921,0,DR,0,0,0,0,0,0,0,0,0,0,0,0
202.9513,223.2442,127.8635,2296,0,4.72,13.47,32.84804,207.03 yds,69.23488,16.70774,0,203.0438,0,DR,0,0,0,0,0,0,0,0,0,0,0,0
172.3593,198.1127,129.1162,1985,-1173,-3.8,9.02,19.9184,241.35 yds,34.3049,-38.2687,-30.59,172.2897,0,DR,0,0,0,0,0,0,0,0,0,0,0,0
197.9644,220.8382,123.1435,1658,116,1.31,16.1,32.51083,208.38 yds,69.41978,9.033741,4,198.1084,0,DR,0,0,0,0,0,0,0,0,0,0,0,0
102.8647,109.4864,83.59444,7651,-843,-2.37,19.98,38.37001,319.71 yds,47.50618,-8.270929,-6.29,102.9137,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
99.83398,107.4162,82.74442,6794,-1863,-0.71,19.16,34.90502,322.09 yds,42.27863,-10.07669,-15.33,99.95354,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
104.7978,111.4493,83.57208,6726,-1244,0.05,24.37,42.94633,317.59 yds,59.50726,-6.774614,-10.48,104.9014,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
114.3624,120.2903,89.7684,7676,-1364,-1.18,24.43,45.6517,309.16 yds,71.17001,-10.56729,-10.08,114.3705,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
123.7654,131.0205,93.99622,6637,0,0.06,21.63,43.9054,297.68 yds,68.80569,0.1296144,0,123.7727,0,I9,0,0,0,0,0,0,0,0,0,0,0,0
